1,肖申克的救赎,9.7,导演: 弗兰克·德拉邦特 Frank Darabont,1994,2971922人评价,希望让人自由。
2,霸王别姬,9.6,导演: 陈凯歌 Kaige Chen,1993,2196123人评价,风华绝代。
3,阿甘正传,9.5,导演: 罗伯特·泽米吉斯 Robert Zemeckis,1994,2214915人评价,一部美国近现代史。
4,泰坦尼克号,9.5,导演: 詹姆斯·卡梅隆 James Cameron,1997,2251228人评价,失去的才是永恒的。 
5,这个杀手不太冷,9.4,导演: 吕克·贝松 Luc Besson,1994,2346249人评价,怪蜀黍和小萝莉不得不说的故事。
6,千与千寻,9.4,导演: 宫崎骏 Hayao Miyazaki,2001,2298212人评价,最好的宫崎骏，最好的久石让。 
7,美丽人生,9.5,导演: 罗伯托·贝尼尼 Roberto Benigni,1997,1357363人评价,最美的谎言。
8,星际穿越,9.4,导演: 克里斯托弗·诺兰 Christopher Nolan,2014,1908197人评价,爱是一种力量，让我们超越时空感知它的存在。
9,盗梦空间,9.4,导演: 克里斯托弗·诺兰 Christopher Nolan,2010,2118094人评价,诺兰给了我们一场无法盗取的梦。
10,辛德勒的名单,9.5,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,1993,1146663人评价,拯救一个人，就是拯救整个世界。
11,楚门的世界,9.4,导演: 彼得·威尔 Peter Weir,1998,1768237人评价,如果再也不能见到你，祝你早安，午安，晚安。
12,忠犬八公的故事,9.4,导演: 莱塞·霍尔斯道姆 Lasse Hallström,2009,1426744人评价,永远都不能忘记你所爱的人。
13,海上钢琴师,9.3,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,1998,1715620人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,三傻大闹宝莱坞,9.2,导演: 拉库马·希拉尼 Rajkumar Hirani,2009,1901146人评价,英俊版憨豆，高情商版谢耳朵。
15,放牛班的春天,9.3,导演: 克里斯托夫·巴拉蒂 Christophe Barratier,2004,1345046人评价,天籁一般的童声，是最接近上帝的存在。 
16,机器人总动员,9.3,导演: 安德鲁·斯坦顿 Andrew Stanton,2008,1348890人评价,小瓦力，大人生。
17,疯狂动物城,9.2,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,2016,2001371人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
18,无间道,9.3,导演: 刘伟强 / 麦兆辉,2002,1404016人评价,香港电影史上永不过时的杰作。
19,控方证人,9.6,导演: 比利·怀尔德 Billy Wilder,1957,590539人评价,比利·怀德满分作品。
20,大话西游之大圣娶亲,9.2,导演: 刘镇伟 Jeffrey Lau,1995,1568775人评价,一生所爱。
21,熔炉,9.4,导演: 黄东赫 Dong-hyuk Hwang,2011,953376人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
22,教父,9.3,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1972,994762人评价,千万不要记恨你的对手，这样会让你失去理智。
23,触不可及,9.3,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,2011,1151930人评价,满满温情的高雅喜剧。
24,当幸福来敲门,9.2,导演: 加布里尔·穆奇诺 Gabriele Muccino,2006,1554671人评价,平民励志片。 
25,寻梦环游记,9.1,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,2017,1737747人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
26,末代皇帝,9.3,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,1987,914515人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
27,龙猫,9.2,导演: 宫崎骏 Hayao Miyazaki,1988,1295729人评价,人人心中都有个龙猫，童年就永远不会消失。
28,怦然心动,9.1,导演: 罗伯·莱纳 Rob Reiner,2010,1877365人评价,真正的幸福是来自内心深处。
29,活着,9.3,导演: 张艺谋 Yimou Zhang,1994,871787人评价,张艺谋最好的电影。
30,哈利·波特与魔法石,9.2,导演: Chris Columbus,2001,1232629人评价,童话世界的开端。
31,蝙蝠侠：黑暗骑士,9.2,导演: 克里斯托弗·诺兰 Christopher Nolan,2008,1089671人评价,无尽的黑暗。
32,指环王3：王者无敌,9.3,导演: 彼得·杰克逊 Peter Jackson,2003,825093人评价,史诗的终章。
33,我不是药神,9.0,导演: 文牧野 Muye Wen,2018,2155039人评价,对我们国家而言，这样的电影多一部是一部。
34,乱世佳人,9.3,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,1939,709934人评价,Tomorrow is another day.
35,飞屋环游记,9.1,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,2009,1361311人评价,最后那些最无聊的事情，才是最值得怀念的。 
36,素媛,9.3,导演: 李濬益 Jun-ik Lee,2013,705565人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
37,十二怒汉,9.4,导演: Sidney Lumet,1957,507904人评价,1957年的理想主义。 
38,哈尔的移动城堡,9.1,导演: 宫崎骏 Hayao Miyazaki,2004,1055926人评价,带着心爱的人在天空飞翔。
39,让子弹飞,9.0,导演: 姜文 Wen Jiang,2010,1743245人评价,你给我翻译翻译，神马叫做TMD的惊喜。
40,何以为家,9.1,导演: 娜丁·拉巴基 Nadine Labaki,2018,1070488人评价,凝视卑弱生命，用电影改变命运。
41,摔跤吧！爸爸,9.0,导演: 涅提·蒂瓦里 Nitesh Tiwari,2016,1603955人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
42,猫鼠游戏,9.1,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2002,1062612人评价,骗子大师和执著警探的你追我跑故事。 
43,天空之城,9.2,导演: 宫崎骏 Hayao Miyazaki,1986,902491人评价,对天空的追逐，永不停止。 
44,鬼子来了,9.3,导演: 姜文 Wen Jiang,2000,643719人评价,对敌人的仁慈，就是对自己残忍。
45,海蒂和爷爷,9.3,导演: 阿兰·葛斯彭纳 Alain Gsponer,2015,647243人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
46,少年派的奇幻漂流,9.1,导演: 李安 Ang Lee,2012,1378318人评价,瑰丽壮观、无人能及的冒险之旅。
47,钢琴家,9.3,导演: 罗曼·波兰斯基 Roman Polanski,2002,662704人评价,音乐能化解仇恨。
48,大话西游之月光宝盒,9.0,导演: 刘镇伟 Jeffrey Lau,1995,1249165人评价,旷古烁今。
49,指环王2：双塔奇兵,9.2,导演: 彼得·杰克逊 Peter Jackson,2002,774329人评价,承前启后的史诗篇章。
50,闻香识女人,9.1,导演: 马丁·布莱斯 Martin Brest,1992,914175人评价,史上最美的探戈。
51,死亡诗社,9.2,导演: 彼得·威尔 Peter Weir,1989,753419人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
52,绿皮书,8.9,导演: 彼得·法雷里 Peter Farrelly,2018,1696688人评价,去除成见，需要勇气。
53,罗马假日,9.1,导演: 威廉·惠勒 William Wyler,1953,970609人评价,爱情哪怕只有一天。
54,大闹天宫,9.4,导演: 万籁鸣 Laiming Wan,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),452411人评价,经典之作，历久弥新。
55,天堂电影院,9.2,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,1988,691963人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
56,指环王1：护戒使者,9.1,导演: 彼得·杰克逊 Peter Jackson,2001,869781人评价,传说的开始。
57,黑客帝国,9.1,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,1999,858627人评价,视觉革命。
58,教父2,9.3,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1974,569270人评价,优雅的孤独。
59,狮子王,9.1,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff,1994,867885人评价,动物版《哈姆雷特》。
60,辩护人,9.2,导演: 杨宇硕 Woo-seok Yang,2013,601980人评价,电影的现实意义大过电影本身。
61,饮食男女,9.2,导演: 李安 Ang Lee,1994,639320人评价,人生不能像做菜，把所有的料都准备好了才下锅。
62,搏击俱乐部,9.0,导演: 大卫·芬奇 David Fincher,1999,868847人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
63,本杰明·巴顿奇事,9.0,导演: 大卫·芬奇 David Fincher,2008,1009026人评价,在时间之河里感受溺水之苦。
64,美丽心灵,9.1,导演: 朗·霍华德 Ron Howard,2001,787537人评价,爱是一切逻辑和原由。
65,穿条纹睡衣的男孩,9.2,导演: 马克·赫尔曼 Mark Herman,2008,582377人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
66,窃听风暴,9.2,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,2006,578526人评价,别样人生。
67,情书,8.9,导演: 岩井俊二 Shunji Iwai,1995,1149325人评价,暗恋的极致。
68,两杆大烟枪,9.1,导演: 盖·里奇 Guy Ritchie,1998,609109人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
69,西西里的美丽传说,8.9,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,2000,999903人评价,美丽无罪。
70,音乐之声,9.1,导演: 罗伯特·怀斯 Robert Wise,1965,618859人评价,用音乐化解仇恨，让歌声串起美好。
71,看不见的客人,8.8,导演: 奥里奥尔·保罗 Oriol Paulo,2016,1306509人评价,你以为你以为的就是你以为的。
72,阿凡达,8.8,导演: 詹姆斯·卡梅隆 James Cameron,2009,1454567人评价,绝对意义上的美轮美奂。
73,哈利·波特与死亡圣器(下),9.0,导演: 大卫·叶茨 David Yates,2011,857542人评价,10年的完美句点。
74,拯救大兵瑞恩,9.1,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,1998,662928人评价,美利坚精神输出大片No1.
75,飞越疯人院,9.1,导演: 米洛斯·福尔曼 Miloš Forman,1975,558959人评价,自由万岁。
76,小鞋子,9.2,导演: 马基德·马基迪 Majid Majidi,1997,421615人评价,奔跑的孩子是天使。
77,沉默的羔羊,8.9,导演: 乔纳森·戴米 Jonathan Demme,1991,915117人评价,安东尼·霍普金斯的顶级表演。
78,功夫,8.8,导演: 周星驰 Stephen Chow,2004,1173318人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
79,布达佩斯大饭店,8.9,导演: 韦斯·安德森 Wes Anderson,2014,969373人评价,小清新的故事里注入了大历史的情怀。
80,禁闭岛,8.9,导演: Martin Scorsese,2010,1005779人评价,昔日翩翩少年，今日大腹便便。
81,蝴蝶效应,8.9,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,2004,963063人评价,人的命运被自己瞬间的抉择改变。
82,致命魔术,8.9,导演: 克里斯托弗·诺兰 Christopher Nolan,2006,882787人评价,孪生蝙蝠侠大战克隆金刚狼。
83,哈利·波特与阿兹卡班的囚徒,8.9,导演: Alfonso Cuarón,2004,759226人评价,不一样的导演，不一样的哈利·波特。
84,心灵捕手,8.9,导演: 格斯·范·桑特 Gus Van Sant,1997,735848人评价,人生中应该拥有这样的一段豁然开朗。
85,超脱,9.0,导演: 托尼·凯耶 Tony Kaye,2011,626400人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
86,低俗小说,8.9,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,1994,857733人评价,故事的高级讲法。
87,海豚湾,9.3,导演: 路易·西霍尤斯 Louie Psihoyos,2009,362707人评价,海豚的微笑，是世界上最高明的伪装。
88,摩登时代,9.3,导演: 查理·卓别林 Charles Chaplin,1936,310680人评价,大时代中的人生，小人物的悲喜。
89,春光乍泄,9.0,导演: 王家卫 Kar Wai Wong,1997,648821人评价,爱情纠缠，男女一致。
90,美国往事,9.2,导演: 赛尔乔·莱翁内 Sergio Leone,1984,422885人评价,往事如烟，无处祭奠。
91,喜剧之王,8.8,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,994591人评价,我是一个演员。
92,致命ID,8.9,导演: 詹姆斯·曼高德 James Mangold,2003,849925人评价,最不可能的那个人永远是最可能的。
93,杀人回忆,8.9,导演: 奉俊昊 Joon-ho Bong,2003,739133人评价,关于连环杀人悬案的集体回忆。
94,红辣椒,9.1,导演: 今敏 Satoshi Kon,2006,484082人评价,梦的勾结。
95,七宗罪,8.8,导演: 大卫·芬奇 David Fincher,1995,964077人评价,警察抓小偷，老鼠玩死猫。
96,哈利·波特与密室,8.9,导演: Chris Columbus,2002,786366人评价,魔法的密室之门已打开...
97,加勒比海盗,8.8,导演: 戈尔·维宾斯基 Gore Verbinski,2003,882236人评价,约翰尼·德普的独角戏。
98,一一,9.1,导演: 杨德昌 Edward Yang,2000,411359人评价,我们都曾经是一一。
99,狩猎,9.1,导演: 托马斯·温特伯格 Thomas Vinterberg,2012,405355人评价,人言可畏。
100,唐伯虎点秋香,8.7,导演: 李力持 Lik-Chi Lee,1993,1109256人评价,华太师是黄霑，吴镇宇四大才子之一。
101,7号房的礼物,8.9,导演: 李焕庆 Hwan-kyeong Lee,2013,571256人评价,《我是山姆》的《美丽人生》。
102,被嫌弃的松子的一生,8.9,导演: 中岛哲也 Tetsuya Nakashima,2006,718083人评价,以戏谑来戏谑戏谑。
103,蝙蝠侠：黑暗骑士崛起,8.9,导演: 克里斯托弗·诺兰 Christopher Nolan,2012,742041人评价,诺兰就是保证。
104,请以你的名字呼唤我,8.8,导演: 卢卡·瓜达尼诺 Luca Guadagnino,2017,742062人评价,沉醉在电影的情感和视听氛围中无法自拔。
105,爱在黎明破晓前,8.8,导演: 理查德·林克莱特 Richard Linklater,1995,705851人评价,缘分是个连绵词，最美不过一瞬。
106,剪刀手爱德华,8.7,导演: 蒂姆·波顿 Tim Burton,1990,1054622人评价,浪漫忧郁的成人童话。
107,断背山,8.8,导演: 李安 Ang Lee,2005,721321人评价,每个人心中都有一座断背山。
108,入殓师,8.9,导演: 泷田洋二郎 Yôjirô Takita,2008,684150人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
109,第六感,8.9,导演: M·奈特·沙马兰 M. Night Shyamalan,1999,571478人评价,深入内心的恐怖，出人意料的结局。
110,重庆森林,8.8,导演: 王家卫 Kar Wai Wong,1994,834413人评价,寂寞没有期限。
111,超能陆战队,8.7,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,1042505人评价,Balalala~~~
112,勇敢的心,8.9,导演: 梅尔·吉布森 Mel Gibson,1995,567845人评价,史诗大片的典范。
113,甜蜜蜜,8.9,导演: 陈可辛 Peter Chan,1996,576790人评价,相逢只要一瞬间，等待却像是一辈子。
114,幽灵公主,8.9,导演: 宫崎骏 Hayao Miyazaki,1997,537210人评价,人与自然的战争史诗。
115,爱在日落黄昏时,8.9,导演: 理查德·林克莱特 Richard Linklater,2004,579904人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
